iter	Logloss
0	0.6601660899
1	0.6341575654
2	0.6102752584
3	0.5885689878
4	0.5708778764
5	0.5561536846
6	0.5414671686
7	0.5292088987
8	0.5184326701
9	0.5094093355
10	0.5025584925
11	0.4954554796
12	0.4888893421
13	0.4827545734
14	0.4778954138
15	0.4732320493
16	0.4700417621
17	0.4663375822
18	0.4634265135
19	0.4609768035
20	0.4581808392
21	0.456363296
22	0.4541998858
23	0.4518184941
24	0.4505143866
25	0.4486828275
26	0.4473989036
27	0.4464223956
28	0.4452875263
29	0.4439503817
30	0.4430621545
31	0.4422761916
32	0.4412700794
33	0.4403903375
34	0.439446739
35	0.4387637332
36	0.4383083838
37	0.4374989512
38	0.4368146649
39	0.4360464426
40	0.4356732723
41	0.4352999278
42	0.4347284246
43	0.4343217255
44	0.4340082398
45	0.4337159019
46	0.4333882422
47	0.4330336859
48	0.43269459
49	0.432219811
50	0.4320000945
51	0.4314989981
52	0.4311705428
53	0.4309794289
54	0.4307058466
55	0.4303821029
56	0.4302007056
57	0.4300015365
58	0.4296185218
59	0.4292515727
60	0.4290849992
61	0.4288951931
62	0.4286956112
63	0.4283463142
64	0.4280918456
65	0.4278748766
66	0.4277119496
67	0.4276112012
68	0.4274633258
69	0.4272155281
70	0.4268974961
71	0.4267529304
72	0.4265781882
73	0.4264279365
74	0.4263168899
75	0.426118838
76	0.4260070213
77	0.4258515821
78	0.4257386975
79	0.4256367381
80	0.4255151768
81	0.4253449069
82	0.4252375415
83	0.4251252165
84	0.4249993265
85	0.4249210356
86	0.4247866392
87	0.4246675787
88	0.424524657
89	0.4244274617
90	0.4243175255
91	0.4242428713
92	0.4240800885
93	0.42397507
94	0.4238668981
95	0.4237733687
96	0.4236972149
97	0.4235554872
98	0.4234654508
99	0.423328216
100	0.4232593455
101	0.4231541466
102	0.4230901844
103	0.4229666489
104	0.4229170123
105	0.4228469388
106	0.422756026
107	0.4226375373
108	0.4225076014
109	0.4224308427
110	0.4223483974
111	0.4221916405
112	0.4220184139
113	0.4219748846
114	0.421812633
115	0.4216745892
116	0.4216433385
117	0.421473345
118	0.4214138949
119	0.4212974996
120	0.4212320755
121	0.4211851772
122	0.4211197849
123	0.4210927608
124	0.4210245449
125	0.4209303669
126	0.4208776119
127	0.4208077006
128	0.4207129983
129	0.4206514271
130	0.4206089747
131	0.4204783842
132	0.4204315326
133	0.4203119793
134	0.420220334
135	0.4200819735
136	0.4200123538
137	0.419920633
138	0.4198639812
139	0.4198274316
140	0.4197747844
141	0.4197020269
142	0.4196593297
143	0.4195621325
144	0.4195034662
145	0.4193329553
146	0.4192243777
147	0.4192056774
148	0.4191296102
149	0.4190720205
150	0.4190528181
151	0.4190255516
152	0.4189753258
153	0.4189552075
154	0.4188792937
155	0.4188161617
156	0.418690074
157	0.4186119943
158	0.4186061681
159	0.4185589431
160	0.4184531754
161	0.4183829206
162	0.4183306864
163	0.418260522
164	0.4182091638
165	0.4181465259
166	0.4180309479
167	0.4179364363
168	0.4179067599
169	0.4178733869
170	0.4178250564
171	0.4177661501
172	0.4176754927
173	0.4176422738
174	0.4176169725
175	0.4175545137
176	0.4175366599
177	0.4174870437
178	0.417464123
179	0.4173490507
180	0.4172475694
181	0.4171210627
182	0.417069683
183	0.4170222388
184	0.4169658116
185	0.4168596919
186	0.4167755441
187	0.4167429296
188	0.4167066874
189	0.4165967775
190	0.416532622
191	0.4164675241
192	0.4164156644
193	0.416382596
194	0.4163255864
195	0.4162359049
196	0.4161805185
197	0.4160514487
198	0.4159900742
199	0.415944086
200	0.4158654557
201	0.4158475033
202	0.4157954035
203	0.4157423055
204	0.4156814699
205	0.4156344212
206	0.415578437
207	0.4155167915
208	0.4154513229
209	0.4153498827
210	0.4152700048
211	0.4152236874
212	0.4151808627
213	0.4151103459
214	0.4150552869
215	0.4149970138
216	0.4149355498
217	0.4148999734
218	0.4148648846
219	0.4148042905
220	0.4147744982
221	0.4147372356
222	0.4146298405
223	0.414580431
224	0.4145348288
225	0.4145018036
226	0.4144683719
227	0.4143575362
228	0.4143210806
229	0.4142913888
230	0.4142455939
231	0.4141220643
232	0.414059739
233	0.4139998494
234	0.413932829
235	0.4138336699
236	0.4137633539
237	0.4137185104
238	0.4136835836
239	0.4136456475
240	0.4135828865
241	0.4135237002
242	0.4134550745
